filename	transcription
common_voice_en_41236242_resampled.wav	HE STUDIED THEATRE AND SPENT TIME AS A DIRECTING ASSISTANT AND AS A JOURNALIST
common_voice_en_41247165_resampled.wav	STAL WAS AT THE FISTIN ANDTASK
common_voice_en_41247167_resampled.wav	TES PAPA SUPPOD OR KRAMKAR HOTWARE POTTED THEIR FIRESAILS AND KEYBORDS
common_voice_en_41247169_resampled.wav	HE WAS PROTEST FOR HONCOCK BUSINESS MAN MISTER BONHOW
common_voice_en_41247171_resampled.wav	HOWEVER BESIDWAS THE PATH DAYOS THING TOWAS WI
common_voice_en_41247172_resampled.wav	FOR ME WHEN I SINK OUT O BAND I THINK O THOSE RECORDS
common_voice_en_41247197_resampled.wav	LASLY IS SAD BYLE CISSY KAKIS GOLDE GRED
common_voice_en_41247199_resampled.wav	TEAS AS A CLOSE FRED OF MINE AND HER FELT PASSIONATE HEART WERE GIG
common_voice_en_41247200_resampled.wav	IN COMAT LARSESTEM MUSCAUS FOLLOW THE AVERSOYAL SYSTEM
common_voice_en_41247202_resampled.wav	THIS HAPPES ALSO WITH SUNNOUNS AND TARGATIVE PRONOUN S
common_voice_en_41247203_resampled.wav	CLENLEY AS A BUILGE AND ATHE SAME YARD
common_voice_en_41247255_resampled.wav	THE'S EXECT TOSEY COMMETIES GAVE VISE  TOSEE THER BAD MOVEMENTS
common_voice_en_41247257_resampled.wav	HE GAVE THE NAME WHITE COLOUR PRY CAT SINCE IT WAS NOT COMPLETED
common_voice_en_41247259_resampled.wav	ES HUNTED A SLIPPERY VAK IN A BESTAY OF PENESLA PEGNA
common_voice_en_41247261_resampled.wav	HE WAS BURIED IN LABOSWARL'S CEMETERY
common_voice_en_41247263_resampled.wav	HOWEVER IT WAS ABENDED AFTER ABOUT A YEAR AND THE PLIMAD COMPLAIGN BECAME INDUCTIVE
common_voice_en_41247311_resampled.wav	THE GREEN GRASS FLOWD FREELY BENEATH THE STATION OF TREE
common_voice_en_41247313_resampled.wav	LAST CHRISTMAS SHE HAD MARRIED HIM
common_voice_en_41247316_resampled.wav	THE NAME OF A SMATESELF AT TIJAN ROAD ENLUSTRATE THE PHENOMENAN
common_voice_en_41247317_resampled.wav	IT IS NATED AFTER SAMUEL AL THURSTON THE OILGAN TATORS WAS DERICATE TO CONGRESS
common_voice_en_41247318_resampled.wav	THE COMMONLY BIFERS WERE PLAS YOUSH IN TREATY EYE ANFECTIONS
common_voice_en_41247339_resampled.wav	IS MY INDUSTRIOUS OIL EXPLORITION A POCESSING
common_voice_en_41247343_resampled.wav	CATTLE DAS TE SINAS CALL THE PECATTLE DAS DALAND EVOCATIE OF TELFINS
common_voice_en_41247344_resampled.wav	THE NAME IS DEVIVED FROM ADMANTE ARATTATA MEANING WAGAB BLOSSAM
common_voice_en_41247346_resampled.wav	BISPYS SENTIALLY ELIMENTARY YO'S NEVER NET THE ORIGINAL SIGHT
common_voice_en_41247348_resampled.wav	THAPIIS AR ACTION IN SIMEREN AND BARAS MY MAIG LANG
common_voice_en_41247370_resampled.wav	HER'S MUSH COMING DOWN ASTER BADY CRAB
common_voice_en_41247371_resampled.wav	HIS HEAD UP OF FORMOUS ATTRIBUTES MADE UNCHANGED OF HIS LOTLESS WITH DISCIPLINE
common_voice_en_41247372_resampled.wav	THIS CABBE PROVED USULESS THE FOLLOWED OBSERVATION
common_voice_en_41247373_resampled.wav	OTHERS FATTED TO BE GAUDY DATED CUTTERLISH AND GASLY
common_voice_en_41247374_resampled.wav	IF E E ASKAE SCIENCE IT WOULD BE  CLOSER TO GOD
common_voice_en_41247398_resampled.wav	MY LORD FORGIVE ME AND MY PARENTS AND WHOEVER ENTER MY HOME MIGHT BELIVE IN
common_voice_en_41247399_resampled.wav	ITAS SET BY ARMY PRICKADIER TANALL
common_voice_en_41247401_resampled.wav	THE PRITISH AT EUROPEA HOLAPOLY'S COMMISSION STILL HAD IT A GREAT ORDEAL
common_voice_en_41247403_resampled.wav	SI NEY AM POWLED AND LEDITASTE WHAT DETAILS
common_voice_en_41247404_resampled.wav	BESPA HAD NOT COMPLETELY ABANDONED HIS HARCH BLOCKS SAT DOWL
common_voice_en_41249193_resampled.wav	THE BUILDER WAS JOSEPH PICKFORT OF DERBY
common_voice_en_41249194_resampled.wav	THESE WELL CONSTRUCTED BY YEMEKI
common_voice_en_41249195_resampled.wav	THE PROVISIONAL GOVERNMENT APPOINTED MOLQEY MINISTER OF DEFENCE
common_voice_en_41249196_resampled.wav	HE HAS A JOB OF ASSISTANT CHIEF FOR TEN YEARS
common_voice_en_41249197_resampled.wav	THE EVENT ATTRACTS COMPETATUS FROM ALL OVER THE SHEE JUMPING WOOD
common_voice_en_41253075_resampled.wav	THE FOLLOWING LA SOME EXAMPLES OF GAME
common_voice_en_41253076_resampled.wav	TE BRNPBRIZILY NURSERY HAS ALSO FOUR TIMES INTAKENIN OFCISLAN TO OVERFILL THE BISON GOVERNMENT
common_voice_en_41253079_resampled.wav	THEY CHANGE SOME MARRY IN A POPULAR PLACE FOR BUSHWALKING AND CAMPING
common_voice_en_41253081_resampled.wav	NOWAL IS AN ISLAND MATION IN  TECANAGIA
common_voice_en_41253083_resampled.wav	HOWEVER FACLL HEARS OR THE FORCEIS SHOULBOS UP TO E THE CHARGE AGAINST THEM
common_voice_en_41254427_resampled.wav	THERE ARE DIFFERENT HYPOTHESES REGARDING THE FOUNDATION OF THE VILLAGE
common_voice_en_41254428_resampled.wav	CUALABELETE TOWN ITSELF HAS A NUMBER OF TOURIST ATTRACTIONS
common_voice_en_41254429_resampled.wav	THUS EAST ENDERS WAS BORN
common_voice_en_41254430_resampled.wav	OTHER ORGANIZATIONS USED FOR GATITU ALWAYS PREPARED IN ALBANIN
common_voice_en_41254431_resampled.wav	LAURIA WOULD DIE IN THE FINAL ISSUE OF THE SERIES
common_voice_en_41256752_resampled.wav	HE HALLOO HOW ARE YOU DOING TO D
common_voice_en_41256754_resampled.wav	ET IT IT IT'S A GOOD DEE
common_voice_en_41256755_resampled.wav	YE M I AM DOING WELL
common_voice_en_41256756_resampled.wav	HOPTHIS WOULD BE AGREEDING
common_voice_en_41256757_resampled.wav	WONDERFUL
common_voice_en_41259139_resampled.wav	IT CAN TAKE TIME TO ADDREST
common_voice_en_41259140_resampled.wav	VIDOUT YOR UNDIVIDED ADANCHAM SHE ECULLY EXPLOLED
common_voice_en_41259141_resampled.wav	THEY WILL LATER RETURN WITH ALVIN TO TAKE SAMPLES
common_voice_en_41259142_resampled.wav	HERE AS THE SON OF LAUREZ ALSAN AND HIS WIFE MARANSOPI
common_voice_en_41259143_resampled.wav	HIS RECORD AT THIS RACE EARNED HIM THE POPLAR NICKNAME KING OF THE MASEN
common_voice_en_41259459_resampled.wav	DO RIANNE BECAME A RULE FOR WHICH STE RESTER BECAME WELL KNOWN
common_voice_en_41259460_resampled.wav	HE BECAME NO AS RITE DIPLOMAT WOULD THIS RELIGIOUS LIADE APOTICIANI PAKISTA
common_voice_en_41259461_resampled.wav	IT IS SAID THAT THIS FHEME ISPECIALLY ARGETED WORTHY YOUNG ADOS ORTIERS
common_voice_en_41259462_resampled.wav	TITH OLD THROUG AS SENT THENCE TO DEATS
common_voice_en_41259463_resampled.wav	MISTE MON DEPITED EXAMPLES
common_voice_en_41267069_resampled.wav	IN PURIA THE CANATIANS EXPRESS ADMIRATION LOVE AND GRATITUDE
common_voice_en_41267071_resampled.wav	STATE IS CONSIDERED THE BEGINNING OF THI SANGUN ERA
common_voice_en_41267073_resampled.wav	HE ALSO DESCRIBED DELIBERATE EFFORTS TO STEADY PHYSICAL RESISTENCE BY STABBING PRISONERS TO DEATH
common_voice_en_41267075_resampled.wav	THEETHESA LORNICI BELTWAY IS LOCATED TO THE WIST
common_voice_en_41267078_resampled.wav	THE MAIN DEITY IS REFIED BY HE NAME LAKS ME NARAYEN
common_voice_en_41267143_resampled.wav	IN GREECE PONTIC HAS NO OFFICIOUS TICTES
common_voice_en_41267148_resampled.wav	HE IS BURIED IN NIANG DON SAUTH DACUTA
common_voice_en_41267150_resampled.wav	IT FOMMONS EQONS REIDATED CITY CURANTRY GOVERN IT WITH ISCONTI CONTISIT IN PLAYING KBAG
common_voice_en_41267151_resampled.wav	HE WAS DE FIDA OF NANE CHILDREN
common_voice_en_41267153_resampled.wav	QONTESTRE LANGUAGE ISE A CLAUSE DEMAND AT THE FOLLOWING OPERATIONS
common_voice_en_41269175_resampled.wav	THE FEDAWAY OF FIME E SIPBIKES COMMERCIAL VEGETABLE FIME IN PALMER
common_voice_en_41269178_resampled.wav	MASS SETA WHAT WALLID PULSIVE ALTER EGO
common_voice_en_41269180_resampled.wav	HE SWOVE OR THE TIVA FOMLA O JANTEEN MANY AS SHAGGY STEVLS TE MADE
common_voice_en_41269183_resampled.wav	THE WAPONONS SECIN FICE TOOK PLACE IMMEDIATELY AFTER
common_voice_en_41269185_resampled.wav	IT WAS BORCAST LIFE ON TELEVITION A VALUABLE A GOT MUCH MADER COUVERAGE
common_voice_en_41269213_resampled.wav	CAN SETADUVENATE
common_voice_en_41269214_resampled.wav	AND SIX FEET TALL MARGRATER WAS ACCORDING TO SALVILIOUSNESS IMPRESSIVE SIGHT
common_voice_en_41269215_resampled.wav	TABERCLAY THE WOMAN INVOLVED A MARRIED AND NON WORKING
common_voice_en_41269216_resampled.wav	THE CURTY PUTY COMMISSIONER CULPRIT SERVICES IS DAVE HUTCHSON
common_voice_en_41269217_resampled.wav	THE MODEST SOU WAS A BRIN CHILD OF THE PORGRAP COUD SWALLOW'S SANDY BEACH
common_voice_en_41269250_resampled.wav	OVERLAND PORT FALLS WITHIN THE BANDARIES OF ADASES OF CASTAL CITY IN CASTAS
common_voice_en_41269252_resampled.wav	HES FATHER MUST HAVE BOYS ABOUT THE HOUSE AND WONE THAT TUSH BITE EM
common_voice_en_41269253_resampled.wav	THE PENSQUIR SHAP HAS BEN AWARDID WITH A DIPLOME FOUND TE GATONAMY ACHO TE DEMI
common_voice_en_41269255_resampled.wav	YES I PE IM FITIN SONGS FOR HIS BET MORNID GLORY
common_voice_en_41269256_resampled.wav	FUSIC TEMPERATURES CAN OCCER ATHER MISE OF THE YEAR
common_voice_en_41269289_resampled.wav	TIME LOCKLATE TEPA
common_voice_en_41269292_resampled.wav	THER SEAT WAS GAINED POLADIBRAS BY GORDYHIKE
common_voice_en_41269295_resampled.wav	HE SAID MY LAWS UPPOIN ME I GUASS E UNBELIEVE A PEOPLE
common_voice_en_41269299_resampled.wav	BE KEROF THE MUSIACHUSES SALAMAY THE RESTUR OF GOD
common_voice_en_41269301_resampled.wav	DESPITE AN ATTENTION SHE AND SERAL SEYDOL OF THE WORK TOGETHER IN THE FIELD
common_voice_en_41269331_resampled.wav	UKAN LADGES HAD TO STILL TICG UP THAT HEADD IN ORDER TO UNCOVER THE TREES
common_voice_en_41269334_resampled.wav	HE IS ASPICIOUS SOUL
common_voice_en_41269335_resampled.wav	ID I MEAN AS I WAS A RETTE OG BECAUSE I'VE BEEN I ONE MONTH HADT AN OUT AT DISCOVERY
common_voice_en_41269338_resampled.wav	AND TERTALISM EINFACTION IS SUDDENLY ASSOCIATED WITH THE QREESE RISK OF SERVITERS
common_voice_en_41269340_resampled.wav	THEY TE LOST THE SECOND BOUND TO FLOYDA SPATE
common_voice_en_41269369_resampled.wav	HE ALSO TAUGHT HIMSELF THAT I COULD TAKE LANGORAGE
common_voice_en_41269370_resampled.wav	LOID
common_voice_en_41269372_resampled.wav	THAT DEVEL VICTAVE MILLIONS IN THE PROCESS
common_voice_en_41269375_resampled.wav	ADDITION AFTER LONG WEEF SOLIER'S FATHER ACHIEVEMENT AND COLOR HASHED
common_voice_en_41269376_resampled.wav	A MUSTLEY MAN CAN TAKE A CRUSTIVE WOMAN AS WIFE
common_voice_en_41269425_resampled.wav	JUST AR CROSSPRID AND TICK IRIGINALLY OPEN A SECOS DOOR IN RASTAL NEW YORK
common_voice_en_41269427_resampled.wav	WER CA SHOT THAT DULL FOWLER AND CAPI ALSO PUTTE SPULSVARITY
common_voice_en_41269428_resampled.wav	THAT IS THE WELL AFFAIRS OF WORGLES TORN THE LATTER HYPOLETISE IS LIVELY AS NECESSARY
common_voice_en_41269429_resampled.wav	THAT IN IT IS EASILY COLLECTED TO A SKAIN USING TWO OR MORE LIGHT ROADS
common_voice_en_41269430_resampled.wav	THE PLASA REMOVED THE BEST END IN THE HAND
common_voice_en_41269471_resampled.wav	IT IS ILLEGAL IN SOME CONTRATS
common_voice_en_41269474_resampled.wav	HERE SA GAVE GYAN ANE JASCA'S WATCHFUL EYE
common_voice_en_41269477_resampled.wav	THERE'S LESS I GENTLE AND I TWO WAGES MIGHTY ON MIGHT LETI WORK
common_voice_en_41269479_resampled.wav	BY JAN HER WAS AT AT THE ITALIAN HRANK
common_voice_en_41269482_resampled.wav	I TIE MISS CARLERS THOGT BEFORE YOU CAME
common_voice_en_41269508_resampled.wav	I HAVE CARRIED A LIBRARY TO DAY
common_voice_en_41269509_resampled.wav	FOR JUSTTEIN THE WID TIELS IT DBY DELL WAS AHEAD A PLAKY WITCH
common_voice_en_41269511_resampled.wav	TEBECLAY DER SISTER ABITAL
common_voice_en_41269514_resampled.wav	ALTHOUG ANDER CAPET WITH BERSENT PAROSEN IS FAMA BEACTIVE
common_voice_en_41269515_resampled.wav	MY TADAY SUCK CRISPS HEAD
common_voice_en_41269534_resampled.wav	TARCUS ARE EMPLOYED BUT STIFFER RESONCS
common_voice_en_41269535_resampled.wav	THE GRIEP LETTLE PREMASIS WITHOUT FURTHER INSTINT
common_voice_en_41269536_resampled.wav	CHARTAPRA IS A POT OF SUCH A MATIA TUCHED PLATEAU AND BATE PLATEAU
common_voice_en_41269537_resampled.wav	IS FAIR HAV MY TUR TO GIVE THE PROPER GEMATIC EFTO
common_voice_en_41269538_resampled.wav	SIR BRETONNABRAY WAS ONE OF HIS EFCUTERS
common_voice_en_41269544_resampled.wav	THESLES LEWS OF ORTHERS HAVE AFREE HAND IN THE SALAD POLITYS AR METHODS
common_voice_en_41269545_resampled.wav	ALAPE COLARCATIOUS SYSTEM PUTCATTER A BIWEIGE CATAGOY
