sentence_id	sentence	locale	reason
1bdd4311452a2877c0debda1718696a680f73d6feeffa4d628e2b35a538e6407	Minu lemmiktegelane läbi aegade on Katniss Everdeen triloogiast "Näljamängud".	en	sc-different-language
50cec6912be94ade8bf9a74f8f6c3dccccb6ab41dc4d1525cb50c314dd748e25	Jews pronounce it Adunai. Which means "My Lord"	en	2 sentences
51acbce5ab75a27f21d149d81a5cadd1cf8ca2e222632385bf23c321bc221be9	Väiksena tahtsin väga Ameerikasse reisida, aga viimasel ajal tundub seal päris hirmus olevat.	en	sc-different-language
9989bd34fa1442146bb45637c65d391b6bedaa2edbfbf7d9c9833435a3d141c0	Oh, vaata kui äge selle maja arhitektuur on!	en	sc-different-language
a4f5f28e480cf6148418eda4f2648ee6d7ec28741aa2adad56079255d1bb7bf4	Hey, watch yourself. If you blame someone, do not hate.	en	2 sentences
a8be6022b5787e07d49a8fe9e6f2d63d85520793958d87cdb295723fd4abbca1	Mu telefoniaku saab viimasel ajal päris ruttu tühjaks.	en	sc-different-language
b684cbbecaea1994d2ef33b59e8b3bbffa44f79ef6bb540d6640294cf6f2b62c	Meeting peace With fire hoses.
	en	grammar-or-spelling
b684cbbecaea1994d2ef33b59e8b3bbffa44f79ef6bb540d6640294cf6f2b62c	Meeting peace With fire hoses.
	en	with
c2cf904451ba1b794a51b08dbf8d9a5052332a320388466af9a7218e689d09a4	Neljanda lause juures jäin ma veidi hätta.	en	sc-different-language
cac51473c369dd0300967449ca44240de9209bb3572930395ecbaf4ad1480036	Write TypeScript function to produce full name from first name and last name	en	.
cd20a95e133f46af7564d0a10a807616867976aaae3344049c1739540b58d520	Hetkel õpin kolmandal kursusel, ootan ülikooli lõppu juba väga.	en	sc-different-language
e9daeee7ec4621400addb122026dd467beccd8b5bd23926f9cd446099c9881ed	Millal sa eile koju jõudsid, ma isegi ei kuulnud?	en	sc-different-language
eaaa2b10875afb1792a4e65efd4750c4a6620161b2e211a307a95291e154cfad	Tahaksin täna sõpradega välja minna, aga ma lihtsalt ei leia selleks energiat.	en	sc-different-language
6f8f8202de1d4911d26edf31185c56b637d92524b24fcf9b1536b51fed60abda	فیمینزم اور پیٹریارکی کے درمیان ٹکراؤ بنیادی طور پر صنفی برابری اور طاقت	en	different-language
25d0a36545fbb1dc93ee06151c3b7f24ea78009c8846894dc31240b0c28da553	فیمینزم اور پیٹریارکی دو ایسی اصطلاحات ہیں جو معاشرتی ڈھانچے	en	different-language
0510afce37e1f956c8ae80af7bb913280841f9eeda26d081bc1c05592040e227	الأَرْض	en	different-language
14f8a4ac5231f392516be0331857c6145b72561ea5c3ede4d8b687af1f98d708	آپ کو کون سی زبان آتی ہے؟	en	different-language
f16f9061a5a5962b2750e9dd87b7361e682bf42ffc2c098b01b0568b713d7056	The academic study of Horticulture had to take account the changed requirements that resulted.	en	grammar-or-spelling
f176746d33d333a394cbb444bed396d8de5774f7c7aa9f2bfa3cec2daba3a0cd	Ramakrishna tried to uncover the scam with his help and the another girl.	en	grammar-or-spelling
f14dab817981d4561e69362b1c9e4bdc7e245efc877ba0308f88eb57f455dcb0	These are residential colonies with mix of Commercial activities.	en	grammar-or-spelling
17b982095042d7aad8db4312ea04eaaf92bb945a31a68104a5ede89a848baafe	مردوں کو اکثر اس طرح کی مراعات ملتی ہیں جو خواتین کو نہیں ملتیں	en	different-language
f15a28bcdc1810441bb4eec39bf789f9da938a08da6e9b4d2d9ecc0ab64cb5c6	He added that the cameras have been operational since a week.	en	grammar-or-spelling
f17c247402191d326c01e6d1a1710dddcbb2ea788f32a2a7f47e1ef6b3a8e5ac	This total obviously does not include assets, deposits and reserves that are not traded.	en	grammar-or-spelling
149beb214cf4544177e4dad3be5554ff95daef3e1e927584a26ef77bb86af9a6	آپ کس کھیل میں دلچسپی رکھتے ہیں؟	en	different-language
f176ea5a7dc615f78d5dcf9dab2176268d286d9a4b983d73d32f8c9cb6eb39ce	Water District are part of the Black Sea.	en	grammar-or-spelling
1a77aa5009a623dcccf37126be65f4e5c8e4323d0c92d6568dd4b8bc667ad554	متوازی دارالمبادلہ میں بروکروں کے لیے قرضوں پر محصول	en	different-language
72cfd8c4ea911a135b4bd26037daa9ee0182874d42e885a9730af5ba937e3f19	You've helped Common Voice reach of our daily validation goal!
	en	grammar-or-spelling
f185d94a3bf8c71f19fce5b3caa8796d922142eee239132cf53e9b63a29b3429	The following year, Thomas Paine published an in the "Pennsylvania Gazette".	en	grammar-or-spelling
f187948c60618083bbd4ac1df143ab1c93bb57f6e45666ec4437a117f185f3bc	Two of the well-known phishing methods are Covert Redirect and Open Redirect.	en	offensive-language
f187948c60618083bbd4ac1df143ab1c93bb57f6e45666ec4437a117f185f3bc	Two of the well-known phishing methods are Covert Redirect and Open Redirect.	en	grammar-or-spelling
f187948c60618083bbd4ac1df143ab1c93bb57f6e45666ec4437a117f185f3bc	Two of the well-known phishing methods are Covert Redirect and Open Redirect.	en	different-language
