filename	predicted	ground_truth
common_voice_en_41236242_resampled.wav	He studied theatre and spent time as a directing assistant and as a journalist	She studied theatre and spent time as a directing assistant and as a journalist.
common_voice_en_41247165_resampled.wav	Stal was at the fistin andtask	Steve will set the fist team a task.
common_voice_en_41247167_resampled.wav	Tes papa suppod or kramkar hotware potted their firesails and keybords	This provides support for graphical hardware, pointing devices, and keyboards.
common_voice_en_41247169_resampled.wav	He was protest for honcock business man mister bonhow	He was purchased for hong kong businessman mr bon ho.
common_voice_en_41247171_resampled.wav	However besidwas the path dayos thing towas wi	However, with time his sympathies leaned towards the allies.
common_voice_en_41247172_resampled.wav	For me when i sink out o band i think o those records	For me, when i think of the band, i think of those records.
common_voice_en_41247197_resampled.wav	Lasly is sad byle cissy kakis golde gred	Leslie is served by the searcy county school district.
common_voice_en_41247199_resampled.wav	Teas as a close fred of mine and her felt passionate heart were gig	This is a close friend of mine and a very passionate hardware geek.
common_voice_en_41247200_resampled.wav	In comat larsestem muscaus follow the aversoyal system	In the common law system, most courts follow the adversarial system.
common_voice_en_41247202_resampled.wav	This happes also with sunnouns and targative pronoun s	This happens also with some nouns and interrogative pronouns.
common_voice_en_41247203_resampled.wav	Clenley as a builge and athe same yard	Glenlee also built at the same yard.
common_voice_en_41247255_resampled.wav	The's exect tosey commeties gave vise  tosee ther bad movements	These exile tutsi communities gave rise to tutsi rebel movements.
common_voice_en_41247257_resampled.wav	He gave the name white colour pry cat since it was not completed	"He gave the name ""wat chaloem phra kiat"" since it was not completed."
common_voice_en_41247259_resampled.wav	Es hunted a slippery vak in a bestay of penesla pegna	It is home to the slippery rock university of pennsylvania.
common_voice_en_41247261_resampled.wav	He was buried in laboswarl's cemetery	He was buried in naples war cemetery.
common_voice_en_41247263_resampled.wav	However it was abended after about a year and the plimad complaign became inductive	However, it was abandoned after about a year and the plymouth company became inactive.
common_voice_en_41247311_resampled.wav	The green grass flowd freely beneath the station of tree	The green grass flowed freely beneath the stationed oak tree.
common_voice_en_41247313_resampled.wav	Last christmas she had married him	Last christmas she had married him.
common_voice_en_41247316_resampled.wav	The name of a smateself at tijan road enlustrate the phenomenan	The name of its major thoroughfare tai wan road, illustrates the phenomenon.
common_voice_en_41247317_resampled.wav	It is nated after samuel al thurston the oilgan tators was dericate to congress	It is named after samuel r. thurston, the oregon territory's first delegate to congress.
common_voice_en_41247318_resampled.wav	The commonly bifers were plas yoush in treaty eye anfections	The common name refers to the plant's use in treating eye infections.
common_voice_en_41247339_resampled.wav	Is my industrious oil explorition a pocessing	Its main industries are oil exploration and processing.
common_voice_en_41247343_resampled.wav	Cattle das te sinas call the pecattle das daland evocatie of telfins	Cadillac's designers call the current cadillac's styling evocative of tailfins.
common_voice_en_41247344_resampled.wav	The name is devived from admante arattata meaning wagab blossam	"The name is derived from arrernte utnadata, meaning ""mulga blossom""."
common_voice_en_41247346_resampled.wav	Bispys sentially elimentary yo's never net the original sight	Bixby central elementary is now near the original site.
common_voice_en_41247348_resampled.wav	Thapiis ar action in simeren and baras my maig lang	Japanese saw action in semarang, ambarawa, magelang.
common_voice_en_41247370_resampled.wav	Her's mush coming down aster bady crab	It is most commonly known as the lady crab.
common_voice_en_41247371_resampled.wav	His head up of formous attributes made unchanged of his lotless with discipline	Its handling and performance attributes remained unchanged over its lotus racing sibling.
common_voice_en_41247372_resampled.wav	This cabbe proved usuless the followed observation	This can be proved using the following observation.
common_voice_en_41247373_resampled.wav	Others fatted to be gaudy dated cutterlish and gasly	Others found it to be gaudy, dated, cartoonish and ghastly.
common_voice_en_41247374_resampled.wav	If e e askae science it would be  closer to god	If you really study science, it will bring you closer to god.
common_voice_en_41247398_resampled.wav	My lord forgive me and my parents and whoever enter my home might belive in	My lord forgive me and my parents, and whoever entered my home while believing.
common_voice_en_41247399_resampled.wav	Itas set by army prickadier tanall	It is led by an army brigadier general.
common_voice_en_41247401_resampled.wav	The pritish at europea holapoly's commission still had it a great ordeal	The british and european monopolies commissions still had to agree the deal.
common_voice_en_41247403_resampled.wav	Si ney am powled and leditaste what details	See name of poland and lechites for details.
common_voice_en_41247404_resampled.wav	Bespa had not completely abandoned his harch blocks sat dowl	Rez band had not completely abandoned its hard rock sound, though.
common_voice_en_41249193_resampled.wav	The builder was joseph pickfort of derby	The builder was joseph pickford of derby.
common_voice_en_41249194_resampled.wav	These well constructed by yemeki	These were constructed by yamaki.
common_voice_en_41249195_resampled.wav	The provisional government appointed molqey minister of defence	The provisional government appointed mulcahy minister of defence.
common_voice_en_41249196_resampled.wav	He has a job of assistant chief for ten years	He held the job of assistant chief for ten years.
common_voice_en_41249197_resampled.wav	The event attracts competatus from all over the shee jumping wood	The event attracts competitors from all over the ski jumping world.
common_voice_en_41253075_resampled.wav	The following la some examples of game	The following are some examples of games.
common_voice_en_41253076_resampled.wav	Te brnpbrizily nursery has also four times intakenin ofcislan to overfill the bison government	The brazilian military has also four times intervened militarily to overthrow the brazilian government.
common_voice_en_41253079_resampled.wav	They change some marry in a popular place for bushwalking and camping	The jamison valley is a popular place for bushwalking and camping.
common_voice_en_41253081_resampled.wav	Nowal is an island mation in  tecanagia	Nauru is an island nation in micronesia.
common_voice_en_41253083_resampled.wav	However facll hears or the forceis shoulbos up to e the charge against them	However, powerful heroes called forces soon rose up to lead the charge against them.
common_voice_en_41254427_resampled.wav	There are different hypotheses regarding the foundation of the village	There are different hypotheses regarding the foundation of the village.
common_voice_en_41254428_resampled.wav	Cualabelete town itself has a number of tourist attractions	Kuala belait town itself has a number of tourist attractions.
common_voice_en_41254429_resampled.wav	Thus east enders was born	"Thus, ""eastenders"" was born."
